CustomerID,Lookalikes
C0001,"[('C0120', 0.8597432058158425), ('C0181', 0.8409821650857956), ('C0069', 0.8298164628801701)]"
C0002,"[('C0159', 0.8689822386597825), ('C0128', 0.8467142398328832), ('C0106', 0.8234939049962648)]"
C0003,"[('C0152', 0.8025800777256402), ('C0031', 0.776619453527018), ('C0085', 0.7456541991896066)]"
C0004,"[('C0075', 0.9063076603462492), ('C0065', 0.8782254676466291), ('C0113', 0.8781499876040209)]"
C0005,"[('C0007', 0.9113053514061077), ('C0123', 0.8650805867953506), ('C0140', 0.8513511948881494)]"
C0006,"[('C0196', 0.7802232625204011), ('C0185', 0.7636589915007933), ('C0079', 0.7199533999459918)]"
C0007,"[('C0005', 0.9113053514061077), ('C0140', 0.8483335492960645), ('C0080', 0.8229286506126742)]"
C0008,"[('C0109', 0.8977355689831823), ('C0024', 0.8290122064838378), ('C0194', 0.7768393051177398)]"
C0009,"[('C0060', 0.9697146762451263), ('C0014', 0.9547676112161413), ('C0198', 0.9497292164423325)]"
C0010,"[('C0111', 0.9355569075844422), ('C0062', 0.9236407409608464), ('C0132', 0.8360325160975164)]"
C0011,"[('C0153', 0.817432433817989), ('C0013', 0.7418949445470034), ('C0107', 0.7392991047500634)]"
C0012,"[('C0163', 0.8994376331876192), ('C0104', 0.8957846143794622), ('C0148', 0.889212748543594)]"
C0013,"[('C0099', 0.9598722330930016), ('C0188', 0.9066145087120914), ('C0046', 0.8795770672484103)]"
C0014,"[('C0060', 0.9790477773022658), ('C0009', 0.9547676112161413), ('C0198', 0.9465556037443925)]"
C0015,"[('C0058', 0.9390675309439579), ('C0144', 0.9284785323875621), ('C0036', 0.9146392573391181)]"
C0016,"[('C0117', 0.813596947327514), ('C0011', 0.602062356465138), ('C0042', 0.5497531512862158)]"
C0017,"[('C0075', 0.9027127425472707), ('C0065', 0.8156649637144354), ('C0179', 0.8077825576737226)]"
C0018,"[('C0068', 0.8657877925867606), ('C0122', 0.8286139421470484), ('C0023', 0.827546644092788)]"
C0019,"[('C0119', 0.82055872864364), ('C0121', 0.793585099429502), ('C0094', 0.6957298869996899)]"
C0020,"[('C0140', 0.8540532730714592), ('C0078', 0.8464748770953209), ('C0130', 0.8414802584276612)]"
